ligand_1,ligand_2,LOMAP_score
lig_1,lig_4,0.9048
lig_1,lig_5,0.9048
lig_10,lig_8,0.9512
lig_10,lig_9,0.9512
lig_11,lig_12,0.9048
lig_11,lig_14,0.8187
lig_11,lig_3,0.7047
lig_11,lig_4,0.8607
lig_11,lig_5,0.8607
lig_12,lig_15,0.8187
lig_13,lig_16,0.9048
lig_13,lig_6,0.9512
lig_14,lig_15,0.9048
lig_15,lig_3,0.6376
lig_16,lig_9,0.9048
lig_2,lig_4,0.8607
lig_2,lig_9,0.7788
lig_4,lig_9,0.9048
lig_6,lig_7,0.8607
lig_7,lig_9,0.8607
lig_8,lig_9,0.9048
