ligand,pmf_free,pmf_bound,om_free,om_bound,free_energy,error
9,"[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, -0.3278 kcal/mol, 0.0787 kcal/mol), (0.2, -0.3034 kcal/mol, 0.1092 kcal/mol), (0.3, 0.2925 kcal/mol, 0.1290 kcal/mol), (0.4, 0.9247 kcal/mol, 0.1450 kcal/mol), (0.5, 1.4259 kcal/mol, 0.1581 kcal/mol), (0.6, 1.8461 kcal/mol, 0.1690 kcal/mol), (0.7, 2.1411 kcal/mol, 0.1790 kcal/mol), (0.8, 2.1471 kcal/mol, 0.1873 kcal/mol), (0.9, 2.1609 kcal/mol, 0.1951 kcal/mol), (1.0, 1.8879 kcal/mol, 0.2019 kcal/mol)]","[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, -0.7957 kcal/mol, 0.0822 kcal/mol), (0.2, -0.9824 kcal/mol, 0.1244 kcal/mol), (0.3, -0.7324 kcal/mol, 0.1448 kcal/mol), (0.4, -0.3193 kcal/mol, 0.1610 kcal/mol), (0.5, 0.0710 kcal/mol, 0.1743 kcal/mol), (0.6, 0.2119 kcal/mol, 0.1867 kcal/mol), (0.7, 0.1101 kcal/mol, 0.1961 kcal/mol), (0.8, -0.0183 kcal/mol, 0.2057 kcal/mol), (0.9, -0.1953 kcal/mol, 0.2128 kcal/mol), (1.0, -0.3094 kcal/mol, 0.2200 kcal/mol)]","[[0.9471, 0.0529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0529, 0.883, 0.064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.064, 0.8584, 0.0776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0776, 0.839, 0.0834, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0834, 0.8247, 0.0918, 0.0001, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0001, 0.0918, 0.8055, 0.1024, 0.0002, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0001, 0.1024, 0.7921, 0.1051, 0.0002, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.1051, 0.7748, 0.1194, 0.0005, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.1194, 0.7595, 0.1205, 0.0005], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.1205, 0.7433, 0.1358], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.1358, 0.8638]]","[[0.943, 0.057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.057, 0.8933, 0.0497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0497, 0.8713, 0.079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.079, 0.8336, 0.0873, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0873, 0.8157, 0.0969, 0.0001, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0001, 0.0969, 0.8062, 0.0967, 0.0001, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0001, 0.0967, 0.7835, 0.1194, 0.0003, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.1194, 0.7679, 0.1121, 0.0004, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.1121, 0.743, 0.1438, 0.0008], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.1438, 0.7201, 0.1356], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008, 0.1356, 0.8636]]",-2.1973 kcal/mol,0.2986 kcal/mol
15,"[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, 1.7967 kcal/mol, 0.0567 kcal/mol), (0.2, 5.3587 kcal/mol, 0.0758 kcal/mol), (0.3, 9.8344 kcal/mol, 0.0884 kcal/mol), (0.4, 14.7977 kcal/mol, 0.0980 kcal/mol), (0.5, 20.0685 kcal/mol, 0.1064 kcal/mol), (0.6, 25.4495 kcal/mol, 0.1145 kcal/mol), (0.7, 31.1274 kcal/mol, 0.1222 kcal/mol), (0.8, 37.0322 kcal/mol, 0.1297 kcal/mol), (0.9, 43.3191 kcal/mol, 0.1368 kcal/mol), (1.0, 49.9644 kcal/mol, 0.1439 kcal/mol)]","[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, 2.0863 kcal/mol, 0.0808 kcal/mol), (0.2, 5.8327 kcal/mol, 0.1056 kcal/mol), (0.3, 10.5631 kcal/mol, 0.1217 kcal/mol), (0.4, 15.6064 kcal/mol, 0.1351 kcal/mol), (0.5, 20.9708 kcal/mol, 0.1458 kcal/mol), (0.6, 26.5903 kcal/mol, 0.1565 kcal/mol), (0.7, 32.3818 kcal/mol, 0.1668 kcal/mol), (0.8, 38.4137 kcal/mol, 0.1765 kcal/mol), (0.9, 44.7704 kcal/mol, 0.1858 kcal/mol), (1.0, 51.6139 kcal/mol, 0.1951 kcal/mol)]","[[0.9122, 0.0874, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0874, 0.7788, 0.1323, 0.0016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0005, 0.1323, 0.708, 0.1562, 0.0031, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0016, 0.1562, 0.6601, 0.1781, 0.0041, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0031, 0.1781, 0.633, 0.1826, 0.0031, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0041, 0.1826, 0.6303, 0.1791, 0.0039, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0031, 0.1791, 0.642, 0.1727, 0.0029, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.1727, 0.6499, 0.1703, 0.0031, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0029, 0.1703, 0.6547, 0.1697, 0.0024], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031, 0.1697, 0.663, 0.1642], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024, 0.1642, 0.8335]]","[[0.9208, 0.0789, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0789, 0.7895, 0.1299, 0.0016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0003, 0.1299, 0.7073, 0.1601, 0.0023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0016, 0.1601, 0.6662, 0.1682, 0.0038, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0023, 0.1682, 0.6383, 0.1872, 0.004, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0038, 0.1872, 0.6305, 0.1753, 0.0032, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.004, 0.1753, 0.6455, 0.1723, 0.003, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0032, 0.1723, 0.6478, 0.1739, 0.0028, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.1739, 0.6495, 0.1708, 0.0028], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028, 0.1708, 0.6613, 0.1651], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028, 0.1651, 0.8321]]",1.6495 kcal/mol,0.2424 kcal/mol
16,"[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, -2.6914 kcal/mol, 0.1163 kcal/mol), (0.2, -4.0579 kcal/mol, 0.1526 kcal/mol), (0.3, -4.7614 kcal/mol, 0.1724 kcal/mol), (0.4, -5.3434 kcal/mol, 0.1873 kcal/mol), (0.5, -6.1003 kcal/mol, 0.2018 kcal/mol), (0.6, -7.2826 kcal/mol, 0.2144 kcal/mol), (0.7, -8.7712 kcal/mol, 0.2257 kcal/mol), (0.8, -10.5818 kcal/mol, 0.2352 kcal/mol), (0.9, -12.7901 kcal/mol, 0.2440 kcal/mol), (1.0, -15.2935 kcal/mol, 0.2519 kcal/mol)]","[(0.0, 0.0000e+00 kcal/mol, 0.0000e+00 kcal/mol), (0.1, -3.4202 kcal/mol, 0.1092 kcal/mol), (0.2, -4.9070 kcal/mol, 0.1433 kcal/mol), (0.3, -5.6686 kcal/mol, 0.1630 kcal/mol), (0.4, -6.3942 kcal/mol, 0.1800 kcal/mol), (0.5, -7.3656 kcal/mol, 0.1956 kcal/mol), (0.6, -8.6971 kcal/mol, 0.2067 kcal/mol), (0.7, -10.2112 kcal/mol, 0.2186 kcal/mol), (0.8, -12.3360 kcal/mol, 0.2282 kcal/mol), (0.9, -14.7190 kcal/mol, 0.2364 kcal/mol), (1.0, -17.3602 kcal/mol, 0.2440 kcal/mol)]","[[0.9687, 0.0313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0313, 0.9226, 0.0461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0461, 0.8839, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.07, 0.8456, 0.0844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0844, 0.8356, 0.0799, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0799, 0.8344, 0.0856, 0.0001, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0856, 0.8238, 0.0905, 0.0001, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0905, 0.8062, 0.1031, 0.0001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.1031, 0.7911, 0.1055, 0.0002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.1055, 0.7799, 0.1144], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.1144, 0.8854]]","[[0.9668, 0.0332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0332, 0.9178, 0.0491, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0491, 0.8808, 0.0701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0701, 0.8572, 0.0727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0727, 0.8554, 0.0718, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0718, 0.833, 0.0952, 0.0001, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0952, 0.8214, 0.0834, 0.0001, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0834, 0.818, 0.0984, 0.0001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0984, 0.7914, 0.11, 0.0002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.11, 0.7753, 0.1146], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.1146, 0.8852]]",-2.0667 kcal/mol,0.3507 kcal/mol
