Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
1         ,22        ,000_lig_15.mol2          ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,23        ,000_lig_15.mol2          ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,24        ,000_lig_15.mol2          ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,25        ,000_lig_15.mol2          ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,26        ,000_lig_15.mol2          ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,27        ,000_lig_15.mol2          ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,28        ,000_lig_15.mol2          ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,29        ,000_lig_15.mol2          ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,30        ,000_lig_15.mol2          ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
1         ,31        ,000_lig_15.mol2          ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,3         ,001.mol2                 ,001_lig_4.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,4         ,001.mol2                 ,002.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,5         ,001.mol2                 ,002_lig_12.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,6         ,001.mol2                 ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,7         ,001.mol2                 ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,8         ,001.mol2                 ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,9         ,001.mol2                 ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,10        ,001.mol2                 ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,11        ,001.mol2                 ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,12        ,001.mol2                 ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,13        ,001.mol2                 ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,14        ,001.mol2                 ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,15        ,001.mol2                 ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,16        ,001.mol2                 ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,17        ,001.mol2                 ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,18        ,001.mol2                 ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,19        ,001.mol2                 ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,20        ,001.mol2                 ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,21        ,001.mol2                 ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,22        ,001.mol2                 ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,23        ,001.mol2                 ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,24        ,001.mol2                 ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,25        ,001.mol2                 ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,26        ,001.mol2                 ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,27        ,001.mol2                 ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,28        ,001.mol2                 ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,29        ,001.mol2                 ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,30        ,001.mol2                 ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
2         ,31        ,001.mol2                 ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,4         ,001_lig_4.mol2           ,002.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,5         ,001_lig_4.mol2           ,002_lig_12.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,6         ,001_lig_4.mol2           ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,7         ,001_lig_4.mol2           ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,8         ,001_lig_4.mol2           ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,9         ,001_lig_4.mol2           ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,10        ,001_lig_4.mol2           ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,11        ,001_lig_4.mol2           ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,12        ,001_lig_4.mol2           ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,13        ,001_lig_4.mol2           ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,14        ,001_lig_4.mol2           ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,15        ,001_lig_4.mol2           ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,16        ,001_lig_4.mol2           ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,17        ,001_lig_4.mol2           ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,18        ,001_lig_4.mol2           ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,19        ,001_lig_4.mol2           ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,20        ,001_lig_4.mol2           ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,21        ,001_lig_4.mol2           ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,22        ,001_lig_4.mol2           ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,23        ,001_lig_4.mol2           ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,24        ,001_lig_4.mol2           ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,25        ,001_lig_4.mol2           ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,26        ,001_lig_4.mol2           ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,27        ,001_lig_4.mol2           ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,28        ,001_lig_4.mol2           ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,29        ,001_lig_4.mol2           ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,30        ,001_lig_4.mol2           ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
3         ,31        ,001_lig_4.mol2           ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,5         ,002.mol2                 ,002_lig_12.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,6         ,002.mol2                 ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,7         ,002.mol2                 ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,8         ,002.mol2                 ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,9         ,002.mol2                 ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,10        ,002.mol2                 ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,11        ,002.mol2                 ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,12        ,002.mol2                 ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,13        ,002.mol2                 ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,14        ,002.mol2                 ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,15        ,002.mol2                 ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,16        ,002.mol2                 ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,17        ,002.mol2                 ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,18        ,002.mol2                 ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,19        ,002.mol2                 ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,20        ,002.mol2                 ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,21        ,002.mol2                 ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,22        ,002.mol2                 ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,23        ,002.mol2                 ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,24        ,002.mol2                 ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,25        ,002.mol2                 ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,26        ,002.mol2                 ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,27        ,002.mol2                 ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,28        ,002.mol2                 ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,29        ,002.mol2                 ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,30        ,002.mol2                 ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
4         ,31        ,002.mol2                 ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,6         ,002_lig_12.mol2          ,003.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,7         ,002_lig_12.mol2          ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,8         ,002_lig_12.mol2          ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,9         ,002_lig_12.mol2          ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,10        ,002_lig_12.mol2          ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,11        ,002_lig_12.mol2          ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,12        ,002_lig_12.mol2          ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,13        ,002_lig_12.mol2          ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,14        ,002_lig_12.mol2          ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,15        ,002_lig_12.mol2          ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,16        ,002_lig_12.mol2          ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,17        ,002_lig_12.mol2          ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,18        ,002_lig_12.mol2          ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,19        ,002_lig_12.mol2          ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,20        ,002_lig_12.mol2          ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,21        ,002_lig_12.mol2          ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,22        ,002_lig_12.mol2          ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,23        ,002_lig_12.mol2          ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,24        ,002_lig_12.mol2          ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,25        ,002_lig_12.mol2          ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,26        ,002_lig_12.mol2          ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,27        ,002_lig_12.mol2          ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,28        ,002_lig_12.mol2          ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,29        ,002_lig_12.mol2          ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,30        ,002_lig_12.mol2          ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
5         ,31        ,002_lig_12.mol2          ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,7         ,003.mol2                 ,003_lig_13.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,8         ,003.mol2                 ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,9         ,003.mol2                 ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,10        ,003.mol2                 ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,11        ,003.mol2                 ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,12        ,003.mol2                 ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,13        ,003.mol2                 ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,14        ,003.mol2                 ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,15        ,003.mol2                 ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,16        ,003.mol2                 ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,17        ,003.mol2                 ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,18        ,003.mol2                 ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,19        ,003.mol2                 ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,20        ,003.mol2                 ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,21        ,003.mol2                 ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
